/ext3/miniconda3/lib/python3.9/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 6 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Epoch 1, batch 0, loss=1.9195115566253662
Epoch 1, batch 1, loss=738.2545776367188
Epoch 1, batch 2, loss=2.8153951168060303
Epoch 1, batch 3, loss=1.3856956958770752
Epoch 1, batch 4, loss=1.2945572137832642
Epoch 1, batch 5, loss=1.5659270286560059
Epoch 1, batch 6, loss=1.3050270080566406
Epoch 1, batch 7, loss=1.4639123678207397
Epoch 1, batch 8, loss=1.5998876094818115
Epoch 1, batch 9, loss=1.0446852445602417
Epoch 1, batch 10, loss=1.1179925203323364
Epoch 1, batch 11, loss=0.9286043047904968
Epoch 1, batch 12, loss=1.2698187828063965
Epoch 1, batch 13, loss=1.1666330099105835
Epoch 1, batch 14, loss=1.0970888137817383
Epoch 1, batch 15, loss=1.0826877355575562
Epoch 1, batch 16, loss=1.0774435997009277
Epoch 1, batch 17, loss=0.9920300245285034
Epoch 1, batch 18, loss=0.9290501475334167
Epoch 1, batch 19, loss=1.0858738422393799
Epoch 1, batch 20, loss=0.9771400690078735
Epoch 1, batch 21, loss=1.1488964557647705
Epoch 1, batch 22, loss=1.0549324750900269
Epoch 1, batch 23, loss=1.0141761302947998
Epoch 1, batch 24, loss=1.113641619682312
Epoch 1, batch 25, loss=1.0633825063705444
Epoch 1, batch 26, loss=0.9615601301193237
Epoch 1, batch 27, loss=0.9938831329345703
Epoch 1, batch 28, loss=1.057523250579834
Epoch 1, batch 29, loss=1.0766587257385254
Epoch 1, batch 30, loss=1.0628360509872437
Epoch 1, batch 31, loss=1.022387146949768
Epoch 1, batch 32, loss=1.0607998371124268
Epoch 1, batch 33, loss=1.0325515270233154
Epoch 1, batch 34, loss=0.9258706569671631
Epoch 1, batch 35, loss=0.9894029498100281
Epoch 1, batch 36, loss=1.0062345266342163
Epoch 1, batch 37, loss=1.0331997871398926
Epoch 1, batch 38, loss=1.0126235485076904
Epoch 1, batch 39, loss=1.0469417572021484
Epoch 1, batch 40, loss=1.0998997688293457
Epoch 1, batch 41, loss=0.9402691721916199
Epoch 1, batch 42, loss=1.0505989789962769
Epoch 1, batch 43, loss=1.1059507131576538
Epoch 1, batch 44, loss=1.0069947242736816
Epoch 1, batch 45, loss=1.0450598001480103
Epoch 1, batch 46, loss=1.1279176473617554
Epoch 1, batch 47, loss=1.0520024299621582
Epoch 1, batch 48, loss=1.054445743560791
Epoch 1, batch 49, loss=1.0707201957702637
Epoch 1, batch 50, loss=1.1471590995788574
Epoch 1, batch 51, loss=1.0179705619812012
Epoch 1, batch 52, loss=1.0105576515197754
Epoch 1, batch 53, loss=1.0150930881500244
Epoch 1, batch 54, loss=1.0668243169784546
Epoch 1, batch 55, loss=1.0220847129821777
Epoch 1, batch 56, loss=1.1051914691925049
Epoch 1, batch 57, loss=1.043410062789917
Epoch 1, batch 58, loss=1.0607177019119263
Epoch 1, batch 59, loss=1.025733232498169
Epoch 1, batch 60, loss=0.9807537794113159
Epoch 1, batch 61, loss=1.0330934524536133
Epoch 1, batch 62, loss=1.070815086364746
Epoch 1, batch 63, loss=1.0301218032836914
Epoch 1, batch 64, loss=1.0455050468444824
Epoch 1, batch 65, loss=1.0271788835525513
Epoch 1, batch 66, loss=1.0973681211471558
Epoch 1, batch 67, loss=1.0688533782958984
Epoch 1, batch 68, loss=1.006192684173584
Epoch 1, batch 69, loss=1.11721932888031
Epoch 1, batch 70, loss=1.0427452325820923
Epoch 1, batch 71, loss=1.0304369926452637
Epoch 1, batch 72, loss=1.07249915599823
Epoch 1, batch 73, loss=1.0346674919128418
Epoch 1, batch 74, loss=0.999118447303772
Epoch 1, batch 75, loss=0.9370918273925781
Epoch 1, batch 76, loss=1.0968656539916992
Epoch 1, batch 77, loss=0.9488717913627625
Epoch 1, batch 78, loss=1.008918285369873
Epoch 1, batch 79, loss=1.0764451026916504
Epoch 1, batch 80, loss=1.0094859600067139
Epoch 1, batch 81, loss=0.9879414439201355
Epoch 1, batch 82, loss=0.9867402911186218
Epoch 1, batch 83, loss=0.9962093234062195
Epoch 1, batch 84, loss=1.0431914329528809
Epoch 1, batch 85, loss=1.0693801641464233
Epoch 1, batch 86, loss=1.0192469358444214
Epoch 1, batch 87, loss=1.0696558952331543
Epoch 1, batch 88, loss=1.0533766746520996
Epoch 1, batch 89, loss=1.0267467498779297
Epoch 1, batch 90, loss=1.0671404600143433
Epoch 1, batch 91, loss=1.0574636459350586
Epoch 1, batch 92, loss=0.9859487414360046
Epoch 1, batch 93, loss=0.964418888092041
Epoch 1, batch 94, loss=1.0780746936798096
Epoch 1, batch 95, loss=1.008270025253296
Epoch 1, batch 96, loss=1.013507604598999
Epoch 1, batch 97, loss=1.002676010131836
Epoch 1, batch 98, loss=0.9387153387069702
Epoch 1, batch 99, loss=1.0363351106643677
Epoch 1, batch 100, loss=1.0253534317016602
Epoch 1, batch 101, loss=0.9758402705192566
Epoch 1, batch 102, loss=1.041119933128357
Epoch 1, batch 103, loss=0.9640766978263855
Epoch 1, batch 104, loss=0.9226967096328735
Epoch 1, batch 105, loss=0.976242184638977
Epoch 1, batch 106, loss=1.0644726753234863
Epoch 1, batch 107, loss=1.05704927444458
Epoch 1, batch 108, loss=1.0100511312484741
Epoch 1, batch 109, loss=1.061070442199707
Epoch 1, batch 110, loss=0.9602157473564148
Epoch 1, batch 111, loss=0.977073073387146
Epoch 1, batch 112, loss=1.0604709386825562
Epoch 1, batch 113, loss=1.1084566116333008
Epoch 1, batch 114, loss=1.0866098403930664
Epoch 1, batch 115, loss=1.0708587169647217
Epoch 1, batch 116, loss=0.9889023303985596
Epoch 1, batch 117, loss=0.9662417769432068
Epoch 1, batch 118, loss=1.034891128540039
Epoch 1, batch 119, loss=1.03761887550354
Epoch 1, batch 120, loss=0.9474954605102539
Epoch 1, batch 121, loss=1.0704803466796875
Epoch 1, batch 122, loss=1.0176928043365479
Epoch 1, batch 123, loss=1.0049867630004883
Epoch 1, batch 124, loss=1.0353801250457764
Epoch 1, batch 125, loss=1.1357074975967407
Epoch 1, batch 126, loss=1.192482352256775
Epoch 1, batch 127, loss=0.9438311457633972
Epoch 1, batch 128, loss=1.043125867843628
Epoch 1, batch 129, loss=1.0202937126159668
Epoch 1, batch 130, loss=1.055350422859192
Epoch 1, batch 131, loss=1.0030415058135986
Epoch 1, batch 132, loss=1.0712566375732422
Epoch 1, batch 133, loss=0.9821578860282898
Epoch 1, batch 134, loss=1.0211527347564697
Epoch 1, batch 135, loss=0.9786314964294434
Epoch 1, batch 136, loss=1.0707621574401855
Epoch 1, batch 137, loss=0.9823346138000488
Epoch 1, batch 138, loss=0.9983143210411072
Epoch 1, batch 139, loss=1.0166857242584229
Epoch 1, batch 140, loss=1.0107781887054443
Epoch 1, batch 141, loss=1.0045878887176514
Epoch 1, batch 142, loss=1.020992636680603
Epoch 1, batch 143, loss=1.0173020362854004
Epoch 1, batch 144, loss=1.0534565448760986
Epoch 1, batch 145, loss=1.001300573348999
Epoch 1, batch 146, loss=0.999013364315033
Epoch 1, batch 147, loss=1.058159589767456
Epoch 1, batch 148, loss=1.0253041982650757
Epoch 1, batch 149, loss=1.1148041486740112
Epoch 1, batch 150, loss=1.0311205387115479
Epoch 1, batch 151, loss=0.9667508006095886
Epoch 1, batch 152, loss=1.012374758720398
Epoch 1, batch 153, loss=1.0102022886276245
Epoch 1, batch 154, loss=1.0378453731536865
Epoch 1, batch 155, loss=0.9807366132736206
Epoch 1, batch 156, loss=0.9544770121574402
Epoch 1, batch 157, loss=0.9789490699768066
Epoch 1, batch 158, loss=0.9972285628318787
Epoch 1, batch 159, loss=1.040426254272461
Epoch 1, batch 160, loss=1.0678868293762207
Epoch 1, batch 161, loss=1.134033441543579
Epoch 1, batch 162, loss=0.9510974884033203
Epoch 1, batch 163, loss=1.0789754390716553
Epoch 1, batch 164, loss=1.0289009809494019
Epoch 1, batch 165, loss=1.0508019924163818
Epoch 1, batch 166, loss=1.1173157691955566
Epoch 1, batch 167, loss=1.194225788116455
Epoch 1, batch 168, loss=0.9612516164779663
Epoch 1, batch 169, loss=1.0129506587982178
Epoch 1, batch 170, loss=1.023627758026123
Epoch 1, batch 171, loss=1.1004409790039062
Epoch 1, batch 172, loss=0.9796296954154968
Epoch 1, batch 173, loss=1.0400173664093018
Epoch 1, batch 174, loss=1.0851075649261475
Epoch 1, batch 175, loss=0.9790897369384766
Epoch 1, batch 176, loss=0.992362916469574
Epoch 1, batch 177, loss=0.9912277460098267
Epoch 1, batch 178, loss=1.0209554433822632
Epoch 1, batch 179, loss=1.015981674194336
Epoch 1, batch 180, loss=0.9602146148681641
Epoch 1, batch 181, loss=1.0202993154525757
Epoch 1, batch 182, loss=1.0214319229125977
Epoch 1, batch 183, loss=1.013159990310669
Epoch 1, batch 184, loss=1.098989725112915
Epoch 1, batch 185, loss=0.9849225878715515
Epoch 1, batch 186, loss=1.0294523239135742
Epoch 1, batch 187, loss=0.9944759607315063
Epoch 1, batch 188, loss=0.9696556925773621
Epoch 1, batch 189, loss=0.9537107348442078
Epoch 1, batch 190, loss=1.075870394706726
Epoch 1, batch 191, loss=0.9970307350158691
Epoch 1, batch 192, loss=1.086272120475769
Epoch 1, batch 193, loss=0.9463226795196533
Epoch 1, batch 194, loss=0.976989209651947
Epoch 1, batch 195, loss=1.01755952835083
Epoch 1, batch 196, loss=1.0548155307769775
Epoch 1, batch 197, loss=1.0399184226989746
Epoch 1, batch 198, loss=1.0063291788101196
Epoch 1, batch 199, loss=1.004598617553711
Epoch 1, batch 200, loss=1.0562775135040283
Epoch 1, batch 201, loss=1.0279321670532227
Epoch 1, batch 202, loss=1.0455427169799805
Epoch 1, batch 203, loss=1.0170783996582031
Epoch 1, batch 204, loss=0.9639942646026611
Epoch 1, batch 205, loss=1.0517277717590332
Epoch 1, batch 206, loss=0.9620277881622314
Epoch 1, batch 207, loss=1.0609722137451172
Epoch 1, batch 208, loss=1.0830881595611572
Epoch 1, batch 209, loss=1.0625190734863281
Epoch 1, batch 210, loss=0.8997907638549805
Epoch 1, batch 211, loss=0.8949869871139526
Epoch 1, batch 212, loss=0.9684023857116699
Epoch 1, batch 213, loss=1.384397029876709
Epoch 1, batch 214, loss=0.900739848613739
Epoch 1, batch 215, loss=0.9857727885246277
Epoch 1, batch 216, loss=0.9958562850952148
Epoch 1, batch 217, loss=1.0213241577148438
Epoch 1, batch 218, loss=0.9829046726226807
Epoch 1, batch 219, loss=1.0152959823608398
Epoch 1, batch 220, loss=1.0119166374206543
Epoch 1, batch 221, loss=0.9635283350944519
Epoch 1, batch 222, loss=1.0532400608062744
Epoch 1, batch 223, loss=1.0527856349945068
Epoch 1, batch 224, loss=0.9903327822685242
Epoch 1, batch 225, loss=1.0683166980743408
Epoch 1, batch 226, loss=1.007904291152954
Epoch 1, batch 227, loss=0.9376517534255981
Epoch 1, batch 228, loss=1.0004703998565674
Epoch 1, batch 229, loss=0.9489684104919434
Epoch 1, batch 230, loss=0.9981818199157715
Epoch 1, batch 231, loss=0.9933661222457886
Epoch 1, batch 232, loss=1.0361464023590088
Epoch 1, batch 233, loss=0.9525597095489502
Epoch 1, batch 234, loss=1.036204218864441
Epoch 1, batch 235, loss=1.0539376735687256
Epoch 1, batch 236, loss=1.03057062625885
Epoch 1, batch 237, loss=1.0704866647720337
Epoch 1, batch 238, loss=1.0397148132324219
Epoch 1, batch 239, loss=1.0309702157974243
Epoch 1, batch 240, loss=0.9654077291488647
Epoch 1, batch 241, loss=1.0276100635528564
Epoch 1, batch 242, loss=1.0108805894851685
Epoch 1, batch 243, loss=0.9828967452049255
Epoch 1, batch 244, loss=1.1163204908370972
Epoch 1, batch 245, loss=1.0134482383728027
Epoch 1, batch 246, loss=0.9475805163383484
Epoch 1, batch 247, loss=1.024688720703125
Epoch 1, batch 248, loss=1.1770598888397217
Epoch 1, batch 249, loss=0.9751421809196472
Epoch 1, batch 250, loss=0.8947970271110535
Epoch 1, batch 251, loss=1.1538782119750977
Epoch 1, batch 252, loss=0.9688855409622192
Epoch 1, batch 253, loss=1.0006290674209595
Epoch 1, batch 254, loss=0.9615885615348816
Epoch 1, batch 255, loss=0.9691866636276245
Epoch 1, batch 256, loss=1.0212712287902832
Epoch 1, batch 257, loss=1.0664386749267578
Epoch 1, batch 258, loss=1.1297496557235718
Epoch 1, batch 259, loss=0.991301417350769
Epoch 1, batch 260, loss=0.9721053838729858
Epoch 1, batch 261, loss=0.9968611001968384
Epoch 1, batch 262, loss=0.9882885813713074
Epoch 1, batch 263, loss=1.0037753582000732
Epoch 1, batch 264, loss=1.0570323467254639
Epoch 1, batch 265, loss=0.9714252948760986
Epoch 1, batch 266, loss=0.9764447212219238
Epoch 1, batch 267, loss=0.9937629699707031
Epoch 1, batch 268, loss=1.0298893451690674
Epoch 1, batch 269, loss=0.9253896474838257
Epoch 1, batch 270, loss=0.9642328023910522
Epoch 1, batch 271, loss=1.020062804222107
Epoch 1, batch 272, loss=1.0431878566741943
Epoch 1, batch 273, loss=0.9344860911369324
Epoch 1, batch 274, loss=1.0102405548095703
Epoch 1, batch 275, loss=1.0626921653747559
Epoch 1, batch 276, loss=1.026547908782959
Epoch 1, batch 277, loss=0.994773268699646
Epoch 1, batch 278, loss=1.02996027469635
Epoch 1, batch 279, loss=1.0676621198654175
Epoch 1, batch 280, loss=1.0566723346710205
Epoch 1, batch 281, loss=1.0287652015686035
Epoch 1, batch 282, loss=0.9586316347122192
Epoch 1, batch 283, loss=1.091599464416504
Epoch 1, batch 284, loss=1.0528130531311035
Epoch 1, batch 285, loss=1.083706259727478
Epoch 1, batch 286, loss=0.9791324138641357
Epoch 1, batch 287, loss=0.9374544024467468
Epoch 1, batch 288, loss=0.9529704451560974
Epoch 1, batch 289, loss=1.104175329208374
Epoch 1, batch 290, loss=1.159273624420166
Epoch 1, batch 291, loss=1.089616298675537
Epoch 1, batch 292, loss=1.0358937978744507
Epoch 1, batch 293, loss=1.0412344932556152
Epoch 1, batch 294, loss=1.0089329481124878
Epoch 1, batch 295, loss=0.984215259552002
Epoch 1, batch 296, loss=1.0556915998458862
Epoch 1, batch 297, loss=1.0783965587615967
Epoch 1, batch 298, loss=1.0126609802246094
Epoch 1, batch 299, loss=0.9987418055534363
Epoch 1, batch 300, loss=0.9708542227745056
Epoch 1, batch 301, loss=1.0266499519348145
Epoch 1, batch 302, loss=1.0374754667282104
Epoch 1, batch 303, loss=0.9975740313529968
Epoch 1, batch 304, loss=1.00025475025177
Epoch 1, batch 305, loss=0.9621571898460388
Epoch 1, batch 306, loss=1.015655755996704
Epoch 1, batch 307, loss=0.9679211974143982
Epoch 1, batch 308, loss=0.9687442183494568
Epoch 1, batch 309, loss=0.9881684184074402
Epoch 1, batch 310, loss=0.9865391254425049
Epoch 1, batch 311, loss=0.9349325895309448
Epoch 1, batch 312, loss=1.006606936454773
Epoch 1, batch 313, loss=0.9949167966842651
Epoch 1, batch 314, loss=1.0370116233825684
Epoch 1, batch 315, loss=0.880126953125
Epoch 1, batch 316, loss=1.0155051946640015
Epoch 1, batch 317, loss=0.9820834994316101
Epoch 1, batch 318, loss=1.007339358329773
Epoch 1, batch 319, loss=1.0620989799499512
Epoch 1, batch 320, loss=0.9509363174438477
Epoch 1, batch 321, loss=0.8952524065971375
Epoch 1, batch 322, loss=0.8977100253105164
Epoch 1, batch 323, loss=1.1680827140808105
Epoch 1, batch 324, loss=0.8835376501083374
Epoch 1, batch 325, loss=1.1191991567611694
Epoch 1, batch 326, loss=1.1001008749008179
Epoch 1, batch 327, loss=0.9885978698730469
Epoch 1, batch 328, loss=0.9579929709434509
Epoch 1, batch 329, loss=0.972498893737793
Epoch 1, batch 330, loss=0.8797027468681335
Epoch 1, batch 331, loss=1.1020375490188599
Epoch 1, batch 332, loss=0.9299142360687256
Epoch 1, batch 333, loss=1.0144929885864258
Epoch 1, batch 334, loss=0.9185751676559448
Epoch 1, batch 335, loss=1.0104674100875854
Epoch 1, batch 336, loss=0.9770957827568054
Epoch 1, batch 337, loss=1.0498292446136475
Epoch 1, batch 338, loss=0.9943975210189819
Epoch 1, batch 339, loss=0.9891566038131714
Epoch 1, batch 340, loss=0.9987573623657227
Epoch 1, batch 341, loss=0.9688843488693237
Epoch 1, batch 342, loss=1.0346815586090088
Epoch 1, batch 343, loss=0.9635831713676453
Epoch 1, batch 344, loss=0.9972590208053589
Epoch 1, batch 345, loss=1.0202720165252686
Epoch 1, batch 346, loss=0.9727219939231873
Epoch 1, batch 347, loss=0.9928960800170898
Epoch 1, batch 348, loss=0.9991130232810974
Epoch 1, batch 349, loss=1.0317144393920898
Epoch 1, batch 350, loss=1.0154054164886475
Epoch 1, batch 351, loss=1.056797742843628
Epoch 1, batch 352, loss=1.0385568141937256
Epoch 1, batch 353, loss=1.071597933769226
Epoch 1, batch 354, loss=0.997646689414978
Epoch 1, batch 355, loss=1.070632815361023
Epoch 1, batch 356, loss=0.9913156032562256
Epoch 1, batch 357, loss=0.9420742988586426
Epoch 1, batch 358, loss=1.050858497619629
Epoch 1, batch 359, loss=1.1167384386062622
Epoch 1, batch 360, loss=1.0313351154327393
Epoch 1, batch 361, loss=0.9454230666160583
Epoch 1, batch 362, loss=0.9657354354858398
Epoch 1, batch 363, loss=0.9109653234481812
Epoch 1, batch 364, loss=0.9742504954338074
Epoch 1, batch 365, loss=1.0746288299560547
Epoch 1, batch 366, loss=1.2168715000152588
Epoch 1, batch 367, loss=0.9920296669006348
Epoch 1, batch 368, loss=1.035069227218628
Epoch 1, batch 369, loss=1.0153553485870361
Epoch 1, batch 370, loss=1.0612983703613281
Epoch 1, batch 371, loss=0.9304380416870117
Epoch 1, batch 372, loss=1.0258349180221558
Epoch 1, batch 373, loss=1.0571599006652832
Epoch 1, batch 374, loss=0.8894302248954773
Epoch 1, batch 375, loss=0.8871487975120544
Epoch 1, batch 376, loss=0.9282271265983582
Epoch 1, batch 377, loss=1.0556741952896118
Epoch 1, batch 378, loss=0.9062508344650269
Epoch 1, batch 379, loss=1.0634574890136719
Epoch 1, batch 380, loss=1.0436718463897705
Epoch 1, batch 381, loss=0.9466702342033386
Epoch 1, batch 382, loss=1.0013097524642944
Epoch 1, batch 383, loss=1.0340421199798584
Epoch 1, batch 384, loss=1.0509617328643799
Epoch 1, batch 385, loss=0.8690533638000488
Epoch 1, batch 386, loss=0.9356493353843689
Epoch 1, batch 387, loss=1.2057324647903442
Epoch 1, batch 388, loss=1.0252041816711426
Epoch 1, batch 389, loss=1.0247381925582886
Epoch 1, batch 390, loss=0.9920934438705444
