/ext3/miniconda3/lib/python3.9/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 6 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Epoch 1, batch 0, loss=1.250681757926941
Epoch 1, batch 1, loss=1.4702787399291992
Epoch 1, batch 2, loss=3.1610984802246094
Epoch 1, batch 3, loss=1.2770522832870483
Epoch 1, batch 4, loss=4.044869899749756
Epoch 1, batch 5, loss=1.0503227710723877
Epoch 1, batch 6, loss=1.1899772882461548
Epoch 1, batch 7, loss=1.1059083938598633
Epoch 1, batch 8, loss=1.3020596504211426
Epoch 1, batch 9, loss=1.1257243156433105
Epoch 1, batch 10, loss=1.194959044456482
Epoch 1, batch 11, loss=1.0597326755523682
Epoch 1, batch 12, loss=1.2013674974441528
Epoch 1, batch 13, loss=1.2525246143341064
Epoch 1, batch 14, loss=0.9219886064529419
Epoch 1, batch 15, loss=1.103386640548706
Epoch 1, batch 16, loss=1.023890495300293
Epoch 1, batch 17, loss=1.1056113243103027
Epoch 1, batch 18, loss=1.2242342233657837
Epoch 1, batch 19, loss=1.234025001525879
Epoch 1, batch 20, loss=1.2154998779296875
Epoch 1, batch 21, loss=1.1580103635787964
Epoch 1, batch 22, loss=1.159773349761963
Epoch 1, batch 23, loss=1.1310527324676514
Epoch 1, batch 24, loss=1.0660200119018555
Epoch 1, batch 25, loss=1.2074965238571167
Epoch 1, batch 26, loss=1.2137575149536133
Epoch 1, batch 27, loss=0.9441680908203125
Epoch 1, batch 28, loss=1.5095762014389038
Epoch 1, batch 29, loss=1.1458613872528076
Epoch 1, batch 30, loss=1.1749616861343384
Epoch 1, batch 31, loss=1.2172198295593262
Epoch 1, batch 32, loss=1.1747798919677734
Epoch 1, batch 33, loss=1.2065142393112183
Epoch 1, batch 34, loss=1.1515324115753174
Epoch 1, batch 35, loss=1.1247591972351074
Epoch 1, batch 36, loss=1.128517746925354
Epoch 1, batch 37, loss=1.0470644235610962
Epoch 1, batch 38, loss=1.3708051443099976
Epoch 1, batch 39, loss=1.105060338973999
Epoch 1, batch 40, loss=1.2390305995941162
Epoch 1, batch 41, loss=1.325974941253662
Epoch 1, batch 42, loss=1.3278480768203735
Epoch 1, batch 43, loss=1.0986146926879883
Epoch 1, batch 44, loss=0.9382022619247437
Epoch 1, batch 45, loss=1.1922390460968018
Epoch 1, batch 46, loss=1.075528860092163
Epoch 1, batch 47, loss=1.1798762083053589
Epoch 1, batch 48, loss=1.2267102003097534
Epoch 1, batch 49, loss=1.1903167963027954
Epoch 1, batch 50, loss=1.08431875705719
Epoch 1, batch 51, loss=1.2392874956130981
Epoch 1, batch 52, loss=1.1099567413330078
Epoch 1, batch 53, loss=1.2990481853485107
Epoch 1, batch 54, loss=1.162933588027954
Epoch 1, batch 55, loss=1.2065045833587646
Epoch 1, batch 56, loss=1.4625194072723389
Epoch 1, batch 57, loss=1.246370792388916
Epoch 1, batch 58, loss=1.1508976221084595
Epoch 1, batch 59, loss=1.113304853439331
Epoch 1, batch 60, loss=0.9716880321502686
Epoch 1, batch 61, loss=1.2610087394714355
Epoch 1, batch 62, loss=1.050479769706726
Epoch 1, batch 63, loss=0.9520213603973389
Epoch 1, batch 64, loss=1.0994552373886108
Epoch 1, batch 65, loss=1.1003812551498413
Epoch 1, batch 66, loss=1.2270703315734863
Epoch 1, batch 67, loss=1.0437902212142944
Epoch 1, batch 68, loss=1.24222731590271
Epoch 1, batch 69, loss=1.090273380279541
Epoch 1, batch 70, loss=1.1870841979980469
Epoch 1, batch 71, loss=1.1198887825012207
Epoch 1, batch 72, loss=1.275560736656189
Epoch 1, batch 73, loss=1.0634243488311768
Epoch 1, batch 74, loss=1.0873239040374756
Epoch 1, batch 75, loss=1.2587363719940186
Epoch 1, batch 76, loss=0.997327983379364
Epoch 1, batch 77, loss=1.237168550491333
Epoch 1, batch 78, loss=1.3272985219955444
Epoch 1, batch 79, loss=1.2399463653564453
Epoch 1, batch 80, loss=1.1375188827514648
Epoch 1, batch 81, loss=1.3067915439605713
Epoch 1, batch 82, loss=1.3407585620880127
Epoch 1, batch 83, loss=0.9032257795333862
Epoch 1, batch 84, loss=1.2993083000183105
Epoch 1, batch 85, loss=1.2914454936981201
Epoch 1, batch 86, loss=1.0960808992385864
Epoch 1, batch 87, loss=1.6382114887237549
Epoch 1, batch 88, loss=1.1729092597961426
Epoch 1, batch 89, loss=1.2389081716537476
Epoch 1, batch 90, loss=1.1952722072601318
Epoch 1, batch 91, loss=1.126773715019226
Epoch 1, batch 92, loss=1.3542466163635254
Epoch 1, batch 93, loss=1.3923009634017944
Epoch 1, batch 94, loss=1.3406758308410645
Epoch 1, batch 95, loss=1.5803143978118896
Epoch 1, batch 96, loss=1.3304532766342163
Epoch 1, batch 97, loss=1.2249033451080322
Epoch 1, batch 98, loss=1.2886103391647339
Epoch 1, batch 99, loss=1.4976295232772827
Epoch 1, batch 100, loss=1.3422359228134155
Epoch 1, batch 101, loss=1.5210708379745483
Epoch 1, batch 102, loss=1.224599838256836
Epoch 1, batch 103, loss=1.3986270427703857
Epoch 1, batch 104, loss=1.3956623077392578
Epoch 1, batch 105, loss=1.6326842308044434
Epoch 1, batch 106, loss=1.3319957256317139
Epoch 1, batch 107, loss=1.2732722759246826
Epoch 1, batch 108, loss=0.9636382460594177
Epoch 1, batch 109, loss=1.56103515625
Epoch 1, batch 110, loss=1.2037651538848877
